Size,Diameter,Amplitude,Width,Frequency,Image,Validity
27.3,37.4,40,50.0,200,Screenshot 2025-04-18 144847.png,Valid
33.6,40.0,40.0,50.0,100,Screenshot 2025-04-18 144701.png,Valid
68.6,50.8,60.0,50.0,100,Screenshot 2025-04-18 144729.png,Valid
36.4,41.1,30.0,80.0,400,Screenshot 2025-04-18 143936.png,Valid
56.5,47.6,25,80.0,200,Screenshot 2025-04-18 144335.png,Valid
43.1,43.5,50.0,50.0,300,Screenshot 2025-04-18 145203.png,Valid
46.5,44.6,30.0,80.0,700,Screenshot 2025-04-18 144257.png,Valid
40.6,42.6,50.0,40.0,100,Screenshot 2025-04-18 144531.png,Valid
58.0,48.0,50.0,50.0,100,Screenshot 2025-04-18 144525.png,Valid
42.5,43.3,30.0,80.0,500,Screenshot 2025-04-18 144242.png,Valid
59.3,48.4,50.0,50.0,200,Screenshot 2025-04-18 144901.png,Valid
30.2,38.7,30.0,50.0,100,Screenshot 2025-04-18 144652.png,Valid
59.8,48.5,50.0,60.0,100,Screenshot 2025-04-18 144520.png,Valid
45.3,44.2,30.0,80.0,200,Screenshot 2025-04-18 143919.png,Valid
31.3,39.1,35,50.0,100,Screenshot 2025-04-18 144657.png,Valid
34.5,40.4,55.0,50.0,300,Screenshot 2025-04-18 145207.png,Valid
24.1,35.8,35,50.0,400,Screenshot 2025-04-18 145239.png,Valid
10.42,58.4,55.0,50.0,200,Screenshot 2025-04-18 144912.png,Valid
48.7,453,55,50.0,100,Screenshot 2025-04-18 144709.png,Valid
54.8,47.1,30.0,80.0,700,Screenshot 2025-04-18 144052.png,Valid
30.2,38.6,30.0,80.0,300,Screenshot 2025-04-18 143926.png,Valid
67.6,50.5,90,50.0,100,Screenshot 2025-04-18 144800.png,Valid
75.8,52.5,70.0,50.0,100,Screenshot 2025-04-18 144747.png,Valid
48.6,45.3,30.0,80.0,100,Screenshot 2025-04-18 144223.png,Valid
21.2,34.4,40.0,50.0,300,Screenshot 2025-04-18 145128.png,Valid
56.5,47.6,,80.0,200,Screenshot 2025-04-18 144342.png,Invalid
42.9,43.4,95.0,50.0,100,Screenshot 2025-04-18 144803.png,Valid
64.4,49.7,75.0,50.0,100,Screenshot 2025-04-18 144751.png,Valid
22.3,34.9,55.0,80.0,200,Screenshot 2025-04-18 144423.png,Valid
42.9,43.4,100,50.0,100,Screenshot 2025-04-18 144806.png,Valid
33.2,39.9,40.0,50.0,500,Screenshot 2025-04-18 145339.png,Valid
23.0,35.3,30.0,50.0,300,Screenshot 2025-04-18 145107.png,Valid
83.4,54.2,80,50.0,100,Screenshot 2025-04-18 144754.png,Valid
29.5,38.3,30.0,80.0,500,Screenshot 2025-04-18 143946.png,Valid
53.7,46.8,40.0,50.0,600,Screenshot 2025-04-18 145500.png,Valid
49.7,45.6,85,50.0,100,Screenshot 2025-04-18 144757.png,Valid
140.3,64.5,65.0,50.0,100,Screenshot 2025-04-18 144743.png,Valid
20.3,33.9,25.0,50.0,100,Screenshot 2025-04-18 144637.png,Invalid
58.7,48.2,35.0,80.0,200,Screenshot 2025-04-18 144353.png,Valid
32.0,39.4,30.0,50.0,90,Screenshot 2025-04-18 145928.png,Valid
27,17.3,30.0,50.0,700,Screenshot 2025-04-18 145900.png,Invalid
33.1,39.8,30.0,50.0,200,Screenshot 2025-04-18 145916.png,Valid
33.4,40.0,30.0,50.0,500,Screenshot 2025-04-18 145907.png,Valid
33.2,39.9,30.0,50.0,300,Screenshot 2025-04-18 145912.png,Valid
32.8,39.7,30.0,50.0,600,Screenshot 2025-04-18 145904.png,Valid
41.5,43.0,30.0,50.0,50,Screenshot 2025-04-18 145949.png,Valid
32.2,39.5,30.0,50.0,40,Screenshot 2025-04-18 145957.png,Valid
16.6,31.7,30.0,50.0,1000,Screenshot 2025-04-18 145823.png,Valid
14.7,30.4,30.0,50.0,900,Screenshot 2025-04-18 145835.png,Valid
31.8,39.3,30.0,50.0,60,Screenshot 2025-04-18 145945.png,Valid
16.6,31.7,30.0,50.0,1000,Screenshot 2025-04-18 145823 - Copy.png,Valid
33.4,40.0,30.0,50.0,400,Screenshot 2025-04-18 145909.png,Valid
32.0,39.4,30.0,50.0,70,Screenshot 2025-04-18 145935.png,Valid
31.3,39.1,30.0,50.0,800,Screenshot 2025-04-18 145842.png,Valid
33.3,39.9,30.0,50.0,100,Screenshot 2025-04-18 145924.png,Valid
31.9,39.3,30.0,50.0,80,Screenshot 2025-04-18 145930.png,Valid
32.3,39.5,29.0,50.0,60,Screenshot 2025-04-18 151035.png,Valid
16.8,31.8,60.0,50.0,60,Screenshot 2025-04-18 151223.png,Invalid
36.6,41.2,48.0,50.0,60,Screenshot 2025-04-18 151140.png,Valid
102.4,58.0,52.0,50.0,60,Screenshot 2025-04-18 151154.png,Valid
73.0,51.9,90.0,50.0,60,Screenshot 2025-04-18 151342.png,Valid
51.2,46.1,53.0,50.0,60,Screenshot 2025-04-18 151157.png,Valid
85.0,54.6,65.0,50.0,60,Screenshot 2025-04-18 151235.png,Valid
32.7,39.7,30.0,50.0,60,Screenshot 2025-04-18 151037.png,Valid
31.9,39.4,28.0,50.0,60,Screenshot 2025-04-18 151033.png,Valid
89.7,55.5,63.0,50.0,60,Screenshot 2025-04-18 151231.png,Valid
42.4,43.3,49.0,50.0,60,Screenshot 2025-04-18 151147.png,Valid
74.9,52.3,51.0,50.0,60,Screenshot 2025-04-18 151152.png,Valid
81.1,53.7,61,50.0,60,Screenshot 2025-04-18 151226.png,Valid
40.4,42.6,50.0,50.0,60,Screenshot 2025-04-18 151150.png,Valid
,548,64.0,50.0,60,Screenshot 2025-04-18 151233.png,Valid
31.8,39.3,27,50.0,60,Screenshot 2025-04-18 151031.png,Valid
101.5,57.9,72,50.0,60,Screenshot 2025-04-18 151254.png,Valid
79.7,53.4,87.0,50.0,60,Screenshot 2025-04-18 151334.png,Valid
35.6,40.8,44,50.0,60,Screenshot 2025-04-18 151122.png,Valid
37.2,41.4,47,50.0,60,Screenshot 2025-04-18 151137.png,Valid
33.3,39.9,32,50.0,60,Screenshot 2025-04-18 151043.png,Valid
33.7,40.1,35.0,50.0,60,Screenshot 2025-04-18 151055.png,Valid
72.6,51.8,67,50.0,60,Screenshot 2025-04-18 151243.png,Valid
40.2,42.5,82,50.0,60,Screenshot 2025-04-18 151323.png,Valid
77.3,52.9,88,50.0,60,Screenshot 2025-04-18 151337.png,Valid
36.1,41.0,46,50.0,60,Screenshot 2025-04-18 151135.png,Valid
34.6,40.4,43.0,50.0,60,Screenshot 2025-04-18 151120.png,Valid
32.7,39.7,38.0,50.0,60,Screenshot 2025-04-18 151108.png,Valid
41.4,42.9,73,50.0,60,Screenshot 2025-04-18 151256.png,Valid
32.7,39.7,31,50.0,60,Screenshot 2025-04-18 151040.png,Valid
36.9,41.3,71.0,50.0,60,Screenshot 2025-04-18 151252.png,Valid
21.0,34.2,68.0,50.0,60,Screenshot 2025-04-18 151246.png,Valid
58.2,48.1,83.0,50.0,60,Screenshot 2025-04-18 151326.png,Valid
80.4,53.6,86.0,50.0,60,Screenshot 2025-04-18 151332.png,Valid
34.4,40.3,42,50.0,60,Screenshot 2025-04-18 151118.png,Valid
35.3,40.7,44,50.0,60,Screenshot 2025-04-18 151125.png,Valid
35.8,40.9,45.0,50.0,60,Screenshot 2025-04-18 151132.png,Valid
41.8,43.1,81,50.0,60,Screenshot 2025-04-18 151318.png,Valid
27.1,37.3,70.0,50.0,60,Screenshot 2025-04-18 151250.png,Valid
33.8,40.1,33.0,50.0,60,Screenshot 2025-04-18 151046.png,Valid
84.6,54.5,85.0,50.0,60,Screenshot 2025-04-18 151329.png,Valid
42.4,43.3,80.0,50.0,60,Screenshot 2025-04-18 151315.png,Valid
32.9,39.8,36.0,50.0,60,Screenshot 2025-04-18 151103.png,Valid
